numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
"65 avenue de Claix""";;2506.2;49;1593.7;607.4;0;203.4;101.7;2315.6;46;1585.5;0;88.4;44.2;502.3
2338N3068820L;3 Impasse des Breilles 38390 Montalieu-Vercieu;3;Impasse des Breilles;Montalieu-Vercieu;38390;38247;38;84;38247_8c1m4r_00003;886830.28;6526098.58;adresse géocodée ban à l'adresse;3 Impasse des Breilles;MONTALIEU VERCIEU;38390
2238N1086571B;Route des 7 Laux 38190 Les Adrets;;;Les Adrets;38190;38002;38;84;38002_0016;932602.22;6467794.84;adresse géocodée ban à l'adresse;LES GRANGES DES 7 LAUX;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;4711.5;115;2771.4;1567.3;0;161.5;211.2;4500.8;110;2771.4;0;70.2;91.8;995.6
2238N0901124M;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;914598.37;6457026.99;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2338N4363675O;Impasse de la Garenne 38890 Vignieu;;Impasse de la Garenne;Vignieu;38890;38546;38;84;38546_0449;887150.96;6506584.17;adresse géocodée ban à l'adresse;26 impasse de l'Usine;VIGNIEU;38890
2138N0858633E;Rue Elisha Gray 38090 Villefontaine;;Rue Elisha Gray;Villefontaine;38090;38553;38;84;38553_6pb82u;867197.42;6503905.06;adresse non géocodée ban car aucune correspondance trouvée;Rue Elisha Gray;VILLEFONTAINE;38090
2238N1932694G;Rue Pierre Dalloz 38360 Sassenage;;Rue Pierre Dalloz;Sassenage;38360;38474;38;84;38474_0063;907911.05;6460285.65;adresse non géocodée ban car aucune correspondance trouvée;PIERRE DALLOZ;SASSENAGE;38360
2238N1463376O;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;877742.44;6501316.03;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2338N3202347C;Avenue de Verdun 38240 Meylan;;Avenue de Verdun;Meylan;38240;38229;38;84;38229_0790;917517.4;6460477.24;adresse non géocodée ban car aucune correspondance trouvée;Avenue de Verdun;MEYLAN;38240
2238N2614419L;Chemin de Villantey 38690 Bizonnes;;Chemin de Villantey;Bizonnes;38690;38046;38;84;38046_0700;886147.82;6486248.75;adresse non géocodée ban car aucune correspondance trouvée;CHEMIN DE VILLANTEY;BIZONNES;38690
2338N1847393M;Route de Voiron 38430 Moirans;;Route de Voiron;Moirans;38430;38239;38;84;38239_0520;900209.67;6473136.54;adresse non géocodée ban car aucune correspondance trouvée;La Guillonière, Route de Voiron;MOIRANS;38430
